CustomerID,Gender,Age,SubscriptionType,MonthlyCharges,TenureMonths,NumSupportTickets,AutoRenew,PaymentMethod,Churn
CUST1094,Female,31.0,Standard,88.6,46.0,3.0,Yes,Credit Card,No
CUST1095,Female,19.0,Basic,67.27,28.0,2.0,No,Credit Card,No
CUST1096,Female,28.0,Standard,78.5,68.0,2.0,No,PayPal,No
CUST1097,Female,68.0,Premium,24.41,15.0,1.0,No,PayPal,No
CUST1098,Female,56.0,Premium,51.54,37.0,1.0,No,PayPal,No
CUST1099,Male,55.0,Standard,10.84,1.0,0.0,No,PayPal,No
CUST1100,Male,51.0,Basic,32.2,67.0,2.0,Yes,PayPal,No
CUST1101,Female,55.0,Basic,75.38,24.0,2.0,Yes,Credit Card,Yes
CUST1102,Female,67.0,Standard,99.26,27.0,2.0,Yes,Credit Card,No
CUST1103,Female,51.0,Standard,18.93,40.0,2.0,No,Bank Transfer,No
CUST1104,Female,35.0,Premium,46.13,63.0,1.0,No,Bank Transfer,No
CUST1105,Female,47.0,Basic,82.01,61.0,0.0,No,Bank Transfer,Yes
CUST1106,Female,32.0,Standard,28.36,36.0,1.0,No,Bank Transfer,No
CUST1107,Female,44.0,Basic,59.96,24.0,1.0,Yes,Credit Card,Yes
CUST1108,Female,68.0,Standard,75.98,24.0,2.0,Yes,Credit Card,Yes
CUST1109,Male,51.0,Standard,65.44,4.0,1.0,Yes,Credit Card,No
CUST1110,Female,69.0,Basic,26.92,67.0,0.0,Yes,PayPal,No
CUST1111,Male,55.0,Standard,41.98,34.0,1.0,Yes,PayPal,No
CUST1112,Female,50.0,Standard,80.54,57.0,1.0,Yes,Bank Transfer,Yes
CUST1113,Female,41.0,Premium,59.88,49.0,4.0,No,PayPal,No
CUST1114,Male,32.0,Standard,10.47,53.0,1.0,No,Credit Card,Yes
CUST1115,Female,47.0,Standard,78.49,23.0,1.0,Yes,Bank Transfer,No
CUST1116,Male,59.0,Standard,13.18,69.0,0.0,No,Bank Transfer,No
CUST1117,Female,68.0,Premium,77.12,53.0,0.0,Yes,PayPal,No
CUST1118,Female,34.0,Basic,28.22,62.0,3.0,Yes,Bank Transfer,No
CUST1119,Male,22.0,Premium,96.23,41.0,1.0,No,PayPal,Yes
CUST1120,Female,46.0,Premium,43.11,57.0,0.0,Yes,PayPal,No
CUST1121,Male,21.0,Basic,39.42,60.0,1.0,Yes,Bank Transfer,No
CUST1122,Female,27.0,Premium,23.4,54.0,0.0,Yes,PayPal,No
CUST1123,Male,34.0,Basic,37.5,70.0,1.0,No,PayPal,No
CUST1124,Male,27.0,Premium,88.9,57.0,0.0,No,PayPal,Yes
CUST1125,Female,34.0,Basic,99.67,10.0,0.0,No,PayPal,No
CUST1126,Female,37.0,Standard,43.15,40.0,0.0,No,Bank Transfer,No
CUST1127,Male,41.0,Premium,50.37,7.0,0.0,Yes,Credit Card,No
CUST1128,Female,22.0,Premium,74.99,38.0,1.0,No,Credit Card,Yes
CUST1129,Female,51.0,Premium,89.76,61.0,1.0,No,PayPal,Yes
CUST1130,Female,23.0,Premium,63.37,3.0,4.0,No,PayPal,No
CUST1131,Male,19.0,Standard,45.24,51.0,2.0,Yes,PayPal,No
CUST1132,Male,30.0,Premium,47.14,47.0,0.0,No,Credit Card,No
CUST1133,Male,60.0,Standard,72.61,68.0,2.0,No,PayPal,Yes
CUST1134,Male,60.0,Standard,10.29,38.0,2.0,Yes,Bank Transfer,No
CUST1135,Male,65.0,Standard,65.76,36.0,0.0,Yes,Bank Transfer,No
CUST1136,Male,28.0,Standard,41.99,41.0,0.0,Yes,Bank Transfer,No
CUST1137,Male,68.0,Basic,81.48,69.0,2.0,Yes,Credit Card,No
CUST1138,Male,64.0,Basic,18.37,13.0,1.0,No,PayPal,No
CUST1139,Male,40.0,Premium,62.94,58.0,2.0,Yes,PayPal,No
CUST1140,Female,33.0,Basic,53.29,50.0,1.0,No,PayPal,No
CUST1141,Male,48.0,Basic,67.81,30.0,0.0,No,Credit Card,Yes
CUST1142,Female,28.0,Premium,15.84,62.0,3.0,No,Credit Card,No
CUST1143,Female,33.0,Premium,62.2,25.0,1.0,No,Credit Card,No
CUST1144,Female,25.0,Premium,60.53,27.0,0.0,No,Credit Card,No
CUST1145,Male,21.0,Basic,60.46,51.0,2.0,Yes,Bank Transfer,No
CUST1146,Male,57.0,Basic,64.31,57.0,0.0,No,Credit Card,No
CUST1147,Male,21.0,Premium,70.88,47.0,1.0,No,Credit Card,No
CUST1148,Male,42.0,Standard,82.45,39.0,2.0,No,Credit Card,No
CUST1149,Female,20.0,Premium,34.28,16.0,0.0,Yes,PayPal,No
CUST1150,Male,49.0,Standard,84.25,22.0,2.0,No,PayPal,Yes
CUST1151,Male,20.0,Standard,54.84,54.0,3.0,No,PayPal,Yes
CUST1152,Male,44.0,Premium,16.94,21.0,2.0,Yes,Bank Transfer,No
CUST1153,Male,46.0,Premium,15.27,16.0,2.0,No,Bank Transfer,Yes
CUST1154,Male,49.0,Premium,40.08,59.0,1.0,No,Credit Card,No
CUST1155,Female,67.0,Basic,80.64,31.0,0.0,Yes,PayPal,No
CUST1156,Male,68.0,Standard,73.69,42.0,0.0,No,Bank Transfer,No
CUST1157,Female,36.0,Basic,80.98,32.0,2.0,No,PayPal,No
CUST1158,Male,38.0,Basic,56.55,59.0,2.0,No,Bank Transfer,No
CUST1159,Female,22.0,Premium,49.62,34.0,4.0,No,Bank Transfer,Yes
CUST1160,Male,35.0,Basic,23.27,9.0,0.0,No,Credit Card,No
CUST1161,Male,45.0,Premium,39.54,11.0,1.0,Yes,Credit Card,No
CUST1162,Female,59.0,Standard,49.06,10.0,1.0,Yes,Bank Transfer,No
CUST1163,Female,39.0,Premium,17.97,17.0,0.0,Yes,Credit Card,No
CUST1164,Female,38.0,Basic,29.86,68.0,3.0,No,Bank Transfer,No
CUST1165,Male,23.0,Basic,63.84,48.0,0.0,No,Bank Transfer,Yes
CUST1166,Female,18.0,Premium,76.21,52.0,1.0,No,PayPal,No
CUST1167,Male,22.0,Premium,99.85,25.0,0.0,Yes,Credit Card,Yes
CUST1168,Male,58.0,Basic,93.98,21.0,2.0,No,Credit Card,No
CUST1169,Female,29.0,Standard,67.83,65.0,2.0,No,Credit Card,No
CUST1170,Female,43.0,Standard,47.91,63.0,1.0,No,PayPal,No
CUST1171,Male,63.0,Premium,67.26,51.0,0.0,Yes,PayPal,No
CUST1172,Male,51.0,Standard,80.71,36.0,1.0,Yes,PayPal,Yes
CUST1173,Female,66.0,Basic,20.65,66.0,1.0,No,Credit Card,No
CUST1174,Female,31.0,Premium,46.89,15.0,2.0,No,Credit Card,Yes
CUST1175,Female,43.0,Basic,85.58,39.0,0.0,No,Credit Card,Yes
CUST1176,Male,62.0,Basic,44.54,70.0,3.0,Yes,PayPal,No
CUST1177,Male,44.0,Standard,61.47,1.0,3.0,Yes,PayPal,No
CUST1178,Male,26.0,Premium,62.9,23.0,2.0,Yes,Bank Transfer,No
CUST1179,Male,43.0,Premium,26.6,39.0,2.0,No,PayPal,No
CUST1180,Male,64.0,Standard,42.6,57.0,0.0,Yes,Bank Transfer,No
CUST1181,Male,39.0,Basic,40.11,34.0,1.0,No,Credit Card,No
CUST1182,Female,64.0,Basic,12.36,41.0,1.0,No,PayPal,Yes
CUST1183,Male,47.0,Basic,12.18,13.0,2.0,Yes,Credit Card,No
CUST1184,Male,60.0,Basic,84.85,70.0,6.0,No,Credit Card,No
CUST1185,Male,65.0,Premium,34.58,6.0,3.0,Yes,Credit Card,No
CUST1186,Female,34.0,Premium,56.63,52.0,1.0,No,Credit Card,No
CUST1187,Male,43.0,Standard,36.89,3.0,2.0,No,PayPal,No
CUST1188,Male,53.0,Standard,94.66,63.0,1.0,Yes,Credit Card,No
CUST1189,Female,18.0,Premium,33.34,49.0,3.0,No,Bank Transfer,No
CUST1190,Male,25.0,Premium,48.67,47.0,0.0,No,PayPal,No
CUST1191,Male,66.0,Basic,88.55,55.0,3.0,No,Credit Card,No
CUST1192,Male,52.0,Basic,85.77,64.0,2.0,No,PayPal,No
CUST1193,Male,69.0,Standard,26.75,65.0,1.0,No,Bank Transfer,No
CUST1194,Male,32.0,Premium,82.24,67.0,1.0,No,Credit Card,No
CUST1195,Female,64.0,Standard,51.24,15.0,1.0,No,Bank Transfer,No
CUST1196,Female,39.0,Premium,53.47,32.0,0.0,No,Credit Card,No
CUST1197,Female,31.0,Basic,22.01,68.0,0.0,Yes,Bank Transfer,No
CUST1198,Male,43.0,Standard,17.25,18.0,6.0,Yes,Credit Card,No
CUST1199,Male,45.0,Standard,75.51,43.0,2.0,No,PayPal,No
CUST1200,Male,40.0,Premium,54.68,35.0,1.0,No,Credit Card,No
CUST1201,Female,31.0,Basic,49.32,58.0,0.0,Yes,PayPal,No
CUST1202,Male,41.0,Standard,75.66,33.0,0.0,No,Credit Card,No
CUST1203,Male,19.0,Basic,78.9,14.0,3.0,Yes,Credit Card,No
CUST1204,Female,62.0,Standard,24.3,34.0,0.0,Yes,Bank Transfer,Yes
CUST1205,Male,43.0,Basic,64.92,61.0,2.0,Yes,Bank Transfer,No
CUST1206,Female,31.0,Premium,22.18,4.0,1.0,No,Bank Transfer,No
CUST1207,Female,68.0,Standard,77.62,59.0,3.0,No,Credit Card,No
CUST1208,Female,24.0,Standard,69.13,29.0,2.0,No,Credit Card,No
CUST1209,Male,20.0,Basic,96.1,6.0,0.0,Yes,Credit Card,No
CUST1210,Male,64.0,Basic,16.21,49.0,1.0,Yes,PayPal,Yes
CUST1211,Male,40.0,Standard,15.13,40.0,3.0,Yes,PayPal,No
CUST1212,Male,63.0,Premium,35.4,65.0,3.0,No,Credit Card,No
CUST1213,Male,60.0,Basic,33.55,69.0,2.0,Yes,Bank Transfer,No
CUST1214,Male,64.0,Basic,32.23,27.0,1.0,Yes,Bank Transfer,Yes
CUST1215,Male,62.0,Basic,91.56,6.0,1.0,No,Bank Transfer,No
CUST1216,Female,35.0,Standard,32.46,13.0,1.0,Yes,Credit Card,No
CUST1217,Male,55.0,Standard,34.48,64.0,4.0,Yes,Bank Transfer,No
CUST1218,Female,52.0,Standard,78.35,62.0,0.0,No,Credit Card,No
CUST1219,Male,68.0,Standard,50.48,19.0,0.0,No,PayPal,No
CUST1220,Male,32.0,Premium,79.9,43.0,2.0,Yes,Bank Transfer,No
CUST1221,Male,42.0,Premium,15.88,20.0,1.0,No,PayPal,No
CUST1222,Female,54.0,Standard,53.88,68.0,2.0,Yes,Bank Transfer,No
CUST1223,Female,45.0,Premium,13.03,44.0,2.0,No,Credit Card,Yes
CUST1224,Female,27.0,Basic,15.64,23.0,1.0,Yes,Credit Card,No
CUST1225,Female,56.0,Basic,91.58,2.0,4.0,No,Credit Card,No
CUST1226,Male,34.0,Basic,22.53,22.0,6.0,Yes,Credit Card,No
CUST1227,Female,56.0,Standard,57.92,57.0,4.0,No,Bank Transfer,No
CUST1228,Male,39.0,Basic,47.0,7.0,1.0,No,PayPal,Yes
CUST1229,Male,43.0,Premium,41.26,56.0,2.0,No,Credit Card,Yes
CUST1230,Female,61.0,Standard,90.99,67.0,2.0,No,Bank Transfer,No
CUST1231,Female,42.0,Premium,11.96,16.0,0.0,No,PayPal,No
CUST1232,Female,34.0,Basic,69.74,51.0,0.0,No,Credit Card,No
CUST1233,Female,30.0,Basic,96.71,12.0,0.0,No,PayPal,No
CUST1234,Female,37.0,Basic,60.42,53.0,1.0,Yes,Credit Card,No
CUST1235,Female,42.0,Standard,94.31,5.0,0.0,Yes,PayPal,Yes
CUST1236,Female,21.0,Premium,14.7,27.0,4.0,No,PayPal,Yes
CUST1237,Female,27.0,Standard,47.69,12.0,2.0,No,Credit Card,No
CUST1238,Male,20.0,Standard,33.41,17.0,1.0,Yes,Bank Transfer,No
CUST1239,Female,58.0,Basic,75.77,6.0,2.0,Yes,PayPal,No
CUST1240,Female,62.0,Standard,98.32,5.0,0.0,No,Credit Card,No
CUST1241,Male,35.0,Standard,33.09,57.0,0.0,Yes,PayPal,No
CUST1242,Female,64.0,Basic,68.88,28.0,1.0,Yes,PayPal,No
CUST1243,Male,53.0,Standard,27.83,69.0,0.0,No,Bank Transfer,No
CUST1244,Male,64.0,Basic,60.88,59.0,2.0,No,PayPal,No
CUST1245,Female,39.0,Basic,51.75,33.0,1.0,No,PayPal,Yes
CUST1246,Male,51.0,Basic,97.48,62.0,2.0,Yes,Credit Card,Yes
CUST1247,Male,64.0,Basic,64.77,50.0,0.0,No,Credit Card,No
CUST1248,Male,25.0,Standard,41.46,19.0,1.0,No,Bank Transfer,No
CUST1249,Male,57.0,Basic,20.27,69.0,0.0,Yes,PayPal,No
CUST1250,Female,66.0,Basic,23.61,66.0,1.0,No,PayPal,No
CUST1251,Male,61.0,Standard,30.28,47.0,2.0,Yes,PayPal,No
CUST1252,Female,36.0,Standard,32.59,39.0,0.0,Yes,Bank Transfer,Yes
CUST1253,Male,59.0,Premium,86.56,68.0,0.0,Yes,PayPal,No
CUST1254,Male,58.0,Standard,60.51,33.0,3.0,Yes,Credit Card,No
CUST1255,Male,54.0,Standard,57.11,13.0,2.0,Yes,Bank Transfer,No
CUST1256,Male,23.0,Premium,20.33,54.0,2.0,Yes,Credit Card,No
CUST1257,Female,69.0,Standard,87.41,7.0,3.0,No,Credit Card,No
CUST1258,Female,43.0,Standard,75.05,14.0,1.0,No,Bank Transfer,No
CUST1259,Male,51.0,Standard,16.09,19.0,1.0,No,Credit Card,No
CUST1260,Male,62.0,Standard,73.71,54.0,2.0,Yes,PayPal,No
CUST1261,Female,23.0,Premium,58.92,20.0,3.0,No,Bank Transfer,No
CUST1262,Male,54.0,Standard,17.36,29.0,1.0,Yes,Credit Card,No
CUST1263,Male,50.0,Standard,51.25,24.0,1.0,No,PayPal,Yes
CUST1264,Male,39.0,Premium,53.62,63.0,2.0,Yes,PayPal,Yes
CUST1265,Female,38.0,Basic,24.92,57.0,1.0,No,Credit Card,No
CUST1266,Female,23.0,Premium,95.11,8.0,1.0,Yes,PayPal,No
CUST1267,Female,23.0,Basic,86.5,62.0,1.0,No,Bank Transfer,No
CUST1268,Male,65.0,Premium,70.21,29.0,0.0,Yes,Credit Card,No
CUST1269,Male,21.0,Premium,51.61,17.0,0.0,No,PayPal,No
CUST1270,Female,47.0,Standard,47.06,66.0,0.0,Yes,PayPal,No
CUST1271,Female,28.0,Basic,68.59,6.0,0.0,No,Credit Card,No
CUST1272,Female,47.0,Standard,59.09,58.0,4.0,No,Credit Card,No
CUST1273,Female,48.0,Basic,15.6,69.0,1.0,No,Credit Card,Yes
CUST1274,Male,41.0,Premium,56.13,28.0,1.0,Yes,Credit Card,Yes
CUST1275,Female,26.0,Premium,82.58,62.0,0.0,Yes,Bank Transfer,No
CUST1276,Male,20.0,Basic,51.33,41.0,0.0,Yes,Credit Card,No
CUST1277,Female,68.0,Standard,14.68,69.0,2.0,Yes,Bank Transfer,Yes
CUST1278,Male,48.0,Standard,80.77,41.0,0.0,Yes,Bank Transfer,Yes
CUST1279,Female,57.0,Standard,28.12,49.0,1.0,No,Credit Card,No
CUST1280,Female,54.0,Standard,33.28,49.0,0.0,Yes,Bank Transfer,No
CUST1281,Female,53.0,Premium,24.82,71.0,1.0,No,Credit Card,No
CUST1282,Female,41.0,Premium,39.72,3.0,1.0,No,Credit Card,No
CUST1283,Male,48.0,Premium,78.11,10.0,3.0,Yes,PayPal,No
CUST1284,Female,23.0,Premium,56.74,35.0,2.0,No,Credit Card,No
CUST1285,Male,19.0,Premium,28.44,2.0,1.0,Yes,PayPal,No
CUST1286,Male,37.0,Standard,89.0,24.0,0.0,Yes,Bank Transfer,No
CUST1287,Male,45.0,Standard,89.16,38.0,1.0,Yes,PayPal,No
CUST1288,Male,28.0,Standard,88.35,22.0,2.0,No,Bank Transfer,No
CUST1289,Female,21.0,Standard,31.49,26.0,3.0,Yes,Credit Card,Yes
CUST1290,Male,32.0,Premium,50.61,43.0,1.0,Yes,Bank Transfer,No
CUST1291,Male,23.0,Premium,98.65,55.0,0.0,Yes,Bank Transfer,No
CUST1292,Male,66.0,Premium,79.48,39.0,3.0,No,Credit Card,No
CUST1293,Female,47.0,Basic,12.45,29.0,1.0,Yes,Bank Transfer,No
CUST1294,Female,55.0,Standard,15.87,20.0,5.0,No,Credit Card,No
CUST1295,Female,68.0,Standard,51.75,41.0,1.0,No,PayPal,Yes
CUST1296,Female,19.0,Premium,91.83,54.0,1.0,Yes,Credit Card,No
CUST1297,Male,32.0,Standard,58.48,20.0,5.0,No,Credit Card,No
CUST1298,Male,28.0,Standard,54.8,19.0,0.0,No,Bank Transfer,No
CUST1299,Female,25.0,Premium,19.49,66.0,2.0,Yes,PayPal,No
CUST1300,Male,43.0,Basic,69.11,30.0,1.0,Yes,Credit Card,Yes
CUST1301,Male,68.0,Basic,83.99,53.0,1.0,Yes,PayPal,No
CUST1302,Male,62.0,Basic,44.24,34.0,0.0,No,PayPal,Yes
CUST1303,Female,61.0,Premium,79.81,22.0,0.0,Yes,Bank Transfer,No
CUST1304,Female,22.0,Standard,96.8,67.0,2.0,No,Credit Card,No
CUST1305,Male,23.0,Premium,28.34,6.0,2.0,No,Bank Transfer,Yes
CUST1306,Female,43.0,Premium,57.1,27.0,1.0,No,Credit Card,No
CUST1307,Female,21.0,Standard,35.84,10.0,3.0,No,PayPal,Yes
CUST1308,Female,36.0,Basic,81.36,48.0,1.0,No,Credit Card,Yes
CUST1309,Female,37.0,Basic,61.98,70.0,0.0,Yes,Credit Card,No
CUST1310,Female,50.0,Premium,67.11,59.0,1.0,Yes,PayPal,No
CUST1311,Male,37.0,Basic,81.81,59.0,1.0,No,PayPal,No
CUST1312,Female,66.0,Premium,45.64,2.0,2.0,No,Credit Card,No
CUST1313,Male,29.0,Premium,92.36,29.0,3.0,Yes,Bank Transfer,No
CUST1314,Male,64.0,Standard,57.97,68.0,4.0,Yes,Credit Card,No
CUST1315,Female,18.0,Standard,24.22,65.0,2.0,No,PayPal,Yes
CUST1316,Male,43.0,Standard,72.63,26.0,0.0,No,Bank Transfer,Yes
CUST1317,Male,31.0,Premium,81.39,10.0,1.0,Yes,PayPal,No
CUST1318,Male,55.0,Standard,38.51,53.0,2.0,Yes,PayPal,No
CUST1319,Female,54.0,Basic,87.15,59.0,0.0,No,Bank Transfer,No
CUST1320,Female,28.0,Basic,91.55,22.0,0.0,Yes,PayPal,No
CUST1321,Male,53.0,Premium,34.92,51.0,4.0,Yes,PayPal,No
CUST1322,Female,30.0,Premium,98.52,48.0,2.0,No,PayPal,Yes
CUST1323,Female,60.0,Standard,22.66,21.0,3.0,No,PayPal,Yes
CUST1324,Female,20.0,Premium,28.18,22.0,2.0,No,PayPal,No
CUST1325,Female,50.0,Premium,26.58,30.0,0.0,Yes,PayPal,No
CUST1326,Male,23.0,Basic,90.46,25.0,1.0,No,PayPal,No
CUST1327,Male,67.0,Basic,68.89,28.0,1.0,Yes,PayPal,Yes
CUST1328,Female,27.0,Standard,23.69,65.0,3.0,No,PayPal,No
CUST1329,Female,22.0,Premium,49.63,45.0,1.0,No,Credit Card,No
CUST1330,Male,40.0,Premium,65.38,68.0,0.0,Yes,Credit Card,Yes
CUST1331,Male,27.0,Basic,17.51,7.0,1.0,Yes,PayPal,No
CUST1332,Female,61.0,Premium,89.42,49.0,0.0,No,Credit Card,No
CUST1333,Male,19.0,Basic,82.32,9.0,1.0,No,Bank Transfer,No
CUST1334,Female,30.0,Standard,55.47,36.0,1.0,Yes,Credit Card,Yes
CUST1335,Female,57.0,Basic,97.04,1.0,2.0,No,PayPal,No
CUST1336,Male,19.0,Premium,47.6,10.0,1.0,Yes,PayPal,No
CUST1337,Male,37.0,Standard,98.57,36.0,1.0,Yes,Credit Card,No
CUST1338,Female,18.0,Basic,70.11,46.0,1.0,No,PayPal,No
CUST1339,Female,54.0,Basic,67.12,32.0,1.0,Yes,Bank Transfer,Yes
CUST1340,Male,26.0,Standard,24.94,32.0,1.0,Yes,Bank Transfer,No
CUST1341,Female,34.0,Standard,89.37,6.0,1.0,Yes,PayPal,No
